line(171161)	1000|6400005999|2020|054|50|S|H|||||       3370.00|       3370.00|          0.00|       3370.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200629|"AC_ 6000628138 TBL QMR-4372484,Crt Lic renw5, "||||0000210000|RFBU|||          0.00|||||000000|00000000|0000210006|||X|||          0.00|||0000117785||||||   0|||20200629|Z4|0000612000|640000599910002020|BKPF|0000612000|S|20200629|USD|USD|10|USD|||||||20200702|062224|       3370.00|20200701|6500007717|
line(173326)	1000|7200000301|2020|023|40|S|S|||||      53801.00|      53801.00|          0.00|      53801.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000054 MA-009 Beacon, 25th Floor"||||0000610000|RFBU|||          0.00|001000G665||||000000|00000000|0000610200||||||          0.00|||0000116828||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|      53801.00|00000000||
line(173335)	1000|7200000301|2020|032|40|S|S|||||       8709.67|       8709.67|          0.00|       8709.67|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000067 MN-010 222 South, 9th street"||||0000610000|RFBU|||          0.00|001000J466||||000000|00000000|0000610200||||||          0.00|||0000116832||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|       8709.67|00000000||
line(173342)	1000|7200000301|2020|039|40|S|S|||||      34450.82|      34450.82|          0.00|      34450.82|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000009 MI-011 Suite 700, 301 E. Liberty Stree"||||0000610000|RFBU|||          0.00|001000M485||||000000|00000000|0000610200||||||          0.00|||0000123528||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|      34450.82|00000000||
line(173343)	1000|7200000301|2020|040|40|S|S|||||      13594.50|      13594.50|          0.00|      13594.50|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000058 IA-003 Suite 200, 420 Locust Street"||||0000610000|RFBU|||          0.00|001000M491||||000000|00000000|0000610200||||||          0.00|||0000123528||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|      13594.50|00000000||
line(173346)	1000|7200000301|2020|043|40|S|S|||||      10373.00|      10373.00|          0.00|      10373.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000155 CA-057 42808 Christy Street,Suite 221"||||0000610000|RFBU|||          0.00|001000M602||||000000|00000000|0000610200||||||          0.00|||0000128620||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|      10373.00|00000000||
line(173352)	1000|7200000301|2020|049|40|S|S|||||      61489.00|      61489.00|          0.00|      61489.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000156 CA-053 25 Kearny St.Suite 200, CA 94108"||||0000610000|RFBU|||          0.00|001000L966||||000000|00000000|0000610200||||||          0.00|||0000123528||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|      61489.00|00000000||
line(173388)	1000|7200000301|2020|085|40|S|S|||||       7450.92|       7450.92|          0.00|       7450.92|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000050 TX-048 3890 W. Northwest Highway,"||||0000610000|RFBU|||          0.00|001000J464||||000000|00000000|0000610200||||||          0.00|||0000116832||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|       7450.92|00000000||
line(173393)	1000|7200000301|2020|090|40|S|S|||||      33472.75|      33472.75|          0.00|      33472.75|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000131 VA-051 1100, Wilson Boulevard"||||0000610000|RFBU|||          0.00|001000L486||||000000|00000000|0000610200||||||          0.00|||0000116834||||300||   0|300|0000610200|20200630|Z2|0000630000|720000030110002020|BKPF|0000630000|S|20200630|USD|USD|10|USD|||||||20200702|030949|      33472.75|00000000||
line(173422)	1000|7200000301|2020|119|50|S|H|||||      53801.00|      53801.00|          0.00|      53801.00|USD|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00|          0.00||||000||          0.00|      0.00000|          0.00|          0.00|          0.00|00000000|20200630|"20000054 MA-009 Beacon, 25th Floor"||||0000610000|RFBU|||          0.00|001000G665||||000000|00000000|0000630000||||||          0.00|||0000116828||||300||   0|300|0000630000|20200630|Z2|0000610200|720000030110002020|BKPF|0000610200|S|20200630|USD|USD|10|USD|||||||20200702|030949|      53801.00|00000000||
